dates,model0,model1,model2,model3,model4
2024/02/01/09:00,1.0,1.0,1.0,1.0,1.0
2024/02/01/10:00,1.0,1.0,1.0,1.0,1.0
2024/02/01/11:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/12:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/13:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/14:00,1.0,0.9460330269916023,1.0,1.0,1.0
2024/02/01/15:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/09:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/10:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/11:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/12:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/13:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/14:00,0.9841329919375733,0.9460330269916023,1.0039467331169138,0.9841329919375733,1.0
2024/02/02/15:00,1.1404711718714289,0.9530060811119747,1.126753966439579,1.1404711718714289,1.1563381799338557
2024/02/05/09:00,1.1404711718714289,0.9530060811119747,1.126753966439579,1.1404711718714289,1.1563381799338557
2024/02/05/10:00,1.1404711718714289,0.8990280889457882,1.126753966439579,1.0864931797052424,1.102360187767669
2024/02/05/11:00,1.1404711718714289,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/12:00,1.0864926310334853,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/13:00,1.0864926310334853,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/14:00,1.0864926310334853,0.8990280889457882,1.1078300946458806,1.0864931797052424,1.102360187767669
2024/02/05/15:00,1.0864926310334853,0.8990280889457882,1.1651083474311528,1.0864931797052424,1.102360187767669
2024/02/06/09:00,1.0864926310334853,0.8990280889457882,1.1651083474311528,1.0864931797052424,1.102360187767669
2024/02/06/10:00,1.0864926310334853,0.8990280889457882,1.1651083474311528,1.0864931797052424,1.102360187767669
2024/02/06/11:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/12:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/13:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/14:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0864931797052424,1.102360187767669
2024/02/06/15:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/09:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/10:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/11:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/12:00,1.0325150046484701,0.845050462560773,1.1111307210461376,1.0828090927102865,1.102360187767669
2024/02/07/13:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.102360187767669
2024/02/07/14:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.102360187767669
2024/02/07/15:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/09:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/10:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/11:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.104763674881504
2024/02/08/12:00,0.977003642570833,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.0903990367762506
2024/02/08/13:00,0.948921890479021,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.0903990367762506
2024/02/08/14:00,0.948921890479021,0.7895391004831359,1.0556193589685006,1.0272977306326494,1.0903990367762506
2024/02/08/15:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/09:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/10:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/11:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/12:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/13:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/14:00,0.9650400225565059,0.7568859524789291,1.0229662109642936,0.9946445826284426,1.1080412113453155
2024/02/13/15:00,0.9400005029491107,0.731846432871534,0.9979266913568985,0.9696050630210473,1.0830016917379202
2024/02/14/09:00,0.9400005029491107,0.731846432871534,0.9979266913568985,0.9696050630210473,1.0830016917379202
2024/02/14/10:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/11:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/12:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/13:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/14:00,0.8844906039961593,0.731846432871534,0.942416792403947,0.9696050630210473,1.0830016917379202
2024/02/14/15:00,0.8844906039961593,0.7235813482084337,0.942416792403947,0.9613404355844113,1.0930255742002362
2024/02/15/09:00,0.8844906039961593,0.7235813482084337,0.942416792403947,0.9613404355844113,1.0930255742002362
2024/02/15/10:00,0.8579357292000054,0.6970264734122797,0.9158619176077932,0.9613404355844113,1.0930255742002362
2024/02/15/11:00,0.8579357292000054,0.6970264734122797,0.9121690518647233,0.9613404355844113,1.0930255742002362
2024/02/15/12:00,0.8435739258988306,0.682664670111105,0.9121690518647233,0.9613404355844113,1.0930255742002362
2024/02/15/13:00,0.8170197826650214,0.6561105268772955,0.8962838461890188,0.9613404355844113,1.0930255742002362
2024/02/15/14:00,0.8170197826650214,0.6561105268772955,0.886495176260803,0.9613404355844113,1.0930255742002362
2024/02/15/15:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/09:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/10:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/11:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/12:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/13:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/14:00,0.8118035145474234,0.6508942587596976,0.8812786338073247,0.968316507399448,1.0930255742002362
2024/02/16/15:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/09:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/10:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/11:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/12:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/13:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/14:00,0.8507808208739139,0.6563406184749976,0.9004421989544747,0.968316507399448,1.0930255742002362
2024/02/19/15:00,0.8684100102113934,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/09:00,0.8684100102113934,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/10:00,0.8128890463780067,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/11:00,0.8128890463780067,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/12:00,0.8128890463780067,0.6739698078124772,0.9180713882919543,0.9859456967369274,1.0930255742002362
2024/02/20/13:00,0.8128890463780067,0.6739698078124772,0.938757167024827,0.9859456967369274,1.1701009251215462
2024/02/20/14:00,0.8128890463780067,0.6739698078124772,0.938757167024827,0.9859456967369274,1.1587818115312507
2024/02/20/15:00,0.8128890463780067,0.6519809336564413,0.9624910307408575,1.0173002301373193,1.1230765549510007
2024/02/21/09:00,0.8128890463780067,0.6519809336564413,0.9624910307408575,1.0173002301373193,1.1230765549510007
2024/02/21/10:00,0.8128890463780067,0.6519809336564413,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/11:00,0.8128890463780067,0.6519809336564413,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/12:00,0.8128890463780067,0.6970527639339779,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/13:00,0.8128890463780067,0.7238360843125606,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/14:00,0.8128890463780067,0.7238360843125606,0.9069720787039136,1.0173002301373193,1.0675576029140568
2024/02/21/15:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/09:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/10:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/11:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/12:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/13:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/14:00,0.8335747336655883,0.7262332617011886,0.9069720787039136,1.0379859174249009,1.0675576029140568
2024/02/22/15:00,0.8390170697880028,0.731675597823603,0.912414414826328,1.0434282535473154,1.072999939036471
2024/02/23/09:00,0.8390170697880028,0.731675597823603,0.912414414826328,1.0434282535473154,1.072999939036471
2024/02/23/10:00,0.8390170697880028,0.731675597823603,0.912414414826328,1.0434282535473154,1.072999939036471
2024/02/23/11:00,0.8390170697880028,0.731675597823603,0.912414414826328,1.0434282535473154,1.072999939036471
2024/02/23/12:00,0.8390170697880028,0.731675597823603,0.912414414826328,1.0434282535473154,1.072999939036471
2024/02/23/13:00,0.8390170697880028,0.731675597823603,0.912414414826328,1.0434282535473154,1.072999939036471
2024/02/23/14:00,0.7819690457683726,0.6746275738039728,0.8553663908066977,0.9863802295276851,1.072999939036471
2024/02/23/15:00,0.7819690457683726,0.6746275738039728,0.8553663908066977,0.9863802295276851,1.0677708685778737
2024/02/26/09:00,0.7819690457683726,0.6746275738039728,0.8553663908066977,0.9863802295276851,1.0677708685778737
2024/02/26/10:00,0.7819690457683726,0.6746275738039728,0.8553663908066977,0.9308628320607196,1.0122534711109084
2024/02/26/11:00,0.7355952174111873,0.6282537454467874,0.8227089448737268,0.9308628320607196,1.0122534711109084
2024/02/26/12:00,0.6861733040708424,0.5788318321064426,0.773287031533382,0.9308628320607196,1.0122534711109084
2024/02/26/13:00,0.6861733040708424,0.5492236599454383,0.7436788593723777,0.9308628320607196,1.0122534711109084
2024/02/26/14:00,0.6306556322679984,0.5485722951244425,0.7430274945513818,0.9308628320607196,1.0122534711109084
2024/02/26/15:00,0.6306556322679984,0.5707829393565306,0.7652381387834699,0.9308628320607196,1.0122534711109084
2024/02/27/09:00,0.6306556322679984,0.5707829393565306,0.7652381387834699,0.9308628320607196,1.0122534711109084
2024/02/27/10:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/27/11:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/27/12:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/27/13:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/27/14:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/27/15:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/28/09:00,0.5751395150351329,0.5152668221236651,0.7097220215506046,0.8753467148278542,0.9567373538780428
2024/02/28/10:00,0.5440080319448917,0.4841353390334239,0.7097220215506046,0.8442152317376129,0.9256058707878015
2024/02/28/11:00,0.5440080319448917,0.4841353390334239,0.7097220215506046,0.8442152317376129,0.9256058707878015
2024/02/28/12:00,0.5440080319448917,0.4841353390334239,0.6542040296892355,0.8442152317376129,0.9256058707878015
2024/02/28/13:00,0.5440080319448917,0.4841353390334239,0.6542040296892355,0.8442152317376129,0.9256058707878015
2024/02/28/14:00,0.5440080319448917,0.4841353390334239,0.6542040296892355,0.8442152317376129,0.9256058707878015
2024/02/28/15:00,0.5875546309420413,0.5276819380305735,0.6542040296892355,0.8877618307347626,0.9691524697849512
2024/02/29/09:00,0.5875546309420413,0.5276819380305735,0.6542040296892355,0.8877618307347626,0.9691524697849512
2024/02/29/10:00,0.6204351271851629,0.5276819380305735,0.6200246445064223,0.8877618307347626,0.9691524697849512
2024/02/29/11:00,0.6204351271851629,0.5276819380305735,0.6224222791215144,0.8877618307347626,0.9691524697849512
2024/02/29/12:00,0.6060674713852439,0.5276819380305735,0.6111027083047549,0.8877618307347626,0.9691524697849512
2024/02/29/13:00,0.6060674713852439,0.5276819380305735,0.6111027083047549,0.8877618307347626,0.9691524697849512
2024/02/29/14:00,0.6060674713852439,0.5276819380305735,0.5952110100132577,0.8855873378751172,0.9639297090515606
2024/02/29/15:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/09:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/10:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/11:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/12:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/13:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/14:00,0.5840796031274277,0.5163630073308639,0.6006571868379738,0.8910335146998333,0.9693758858762767
2024/03/04/15:00,0.5840796031274277,0.5096061451236797,0.5832320271897329,0.8736083550515925,0.9693758858762767
2024/03/05/09:00,0.5840796031274277,0.5096061451236797,0.5832320271897329,0.8736083550515925,0.9693758858762767
2024/03/05/10:00,0.5407445323335308,0.5096061451236797,0.539896956395836,0.8736083550515925,0.9693758858762767
2024/03/05/11:00,0.5407445323335308,0.5096061451236797,0.539896956395836,0.8736083550515925,0.9693758858762767
2024/03/05/12:00,0.5407445323335308,0.5096061451236797,0.539896956395836,0.8736083550515925,0.9693758858762767
2024/03/05/13:00,0.5407445323335308,0.5096061451236797,0.539896956395836,0.8736083550515925,0.9693758858762767
2024/03/05/14:00,0.5407445323335308,0.5096061451236797,0.539896956395836,0.8736083550515925,0.9693758858762767
2024/03/05/15:00,0.6315332479843927,0.5714380534345331,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/09:00,0.6315332479843927,0.5714380534345331,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/10:00,0.6315332479843927,0.5714380534345331,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/11:00,0.6315332479843927,0.5714380534345331,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/12:00,0.6315332479843927,0.5714380534345331,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/13:00,0.6315332479843927,0.5159203359090427,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/14:00,0.6315332479843927,0.5159203359090427,0.630685672046698,0.9643970707024544,1.0601646015271384
2024/03/06/15:00,0.6522177464831654,0.5159203359090427,0.6513701705454708,0.9850815692012271,1.0808491000259113
2024/03/07/09:00,0.6522177464831654,0.5159203359090427,0.6513701705454708,0.9850815692012271,1.0808491000259113
2024/03/07/10:00,0.6522177464831654,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/07/11:00,0.6149878072942856,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/07/12:00,0.6149878072942856,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/07/13:00,0.5853785377897669,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/07/14:00,0.5853785377897669,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/07/15:00,0.5938703305747337,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/08/09:00,0.5938703305747337,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/08/10:00,0.5938703305747337,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/08/11:00,0.5938703305747337,0.4603990062944846,0.5958488409309126,0.9850815692012271,1.0808491000259113
2024/03/08/12:00,0.5368171856187036,0.4033458613384545,0.5387956959748825,0.9850815692012271,1.0808491000259113
2024/03/08/13:00,0.5368171856187036,0.4033458613384545,0.5387956959748825,0.9850815692012271,1.0808491000259113
2024/03/08/14:00,0.5368171856187036,0.4033458613384545,0.5387956959748825,0.9850815692012271,1.0808491000259113
2024/03/08/15:00,0.5368171856187036,0.4033458613384545,0.5387956959748825,1.0133777757456615,1.081710895706644
2024/03/11/09:00,0.5368171856187036,0.4033458613384545,0.5387956959748825,1.0133777757456615,1.081710895706644
2024/03/11/10:00,0.5368171856187036,0.4033458613384545,0.5387956959748825,1.0133777757456615,1.081710895706644
2024/03/11/11:00,0.5368171856187036,0.42250110496395665,0.5387956959748825,1.0133777757456615,1.081710895706644
2024/03/11/12:00,0.5559710575648129,0.42250110496395665,0.5387956959748825,1.0133777757456615,1.081710895706644
2024/03/11/13:00,0.5294036547635398,0.42250110496395665,0.5350903022266935,1.0096723819974724,1.081710895706644
2024/03/11/14:00,0.5294036547635398,0.42250110496395665,0.5350903022266935,1.0096723819974724,1.081710895706644
2024/03/11/15:00,0.5394154664472006,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.067337204517398
2024/03/12/09:00,0.5394154664472006,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.067337204517398
2024/03/12/10:00,0.5394154664472006,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.0941130263819687
2024/03/12/11:00,0.5394154664472006,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.1132686357886423
2024/03/12/12:00,0.509799978662768,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.1132686357886423
2024/03/12/13:00,0.5015210857604468,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.1110863700791043
2024/03/12/14:00,0.4810491213631465,0.45537355402130875,0.5451021139103545,1.0196841936811334,1.1110863700791043
2024/03/12/15:00,0.5139186441711256,0.501960282261138,0.5916888421501836,1.0662709219209625,1.1637696340664239
2024/03/13/09:00,0.5139186441711256,0.501960282261138,0.5916888421501836,1.0662709219209625,1.1637696340664239
2024/03/13/10:00,0.5139186441711256,0.501960282261138,0.5483502964351565,1.0662709219209625,1.1637696340664239
2024/03/13/11:00,0.5139186441711256,0.501960282261138,0.529397893710086,1.0662709219209625,1.1637696340664239
2024/03/13/12:00,0.5139186441711256,0.501960282261138,0.529397893710086,1.0662709219209625,1.1637696340664239
2024/03/13/13:00,0.4568634874186528,0.444905125508665,0.529397893710086,1.0092157651684897,1.1637696340664239
2024/03/13/14:00,0.4568634874186528,0.444905125508665,0.529397893710086,1.0092157651684897,1.1637696340664239
2024/03/13/15:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/09:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/10:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/11:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/12:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/13:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/14:00,0.4568634874186528,0.444905125508665,0.5363542133418664,1.0092157651684897,1.1637696340664239
2024/03/14/15:00,0.5247794949171668,0.512821133007179,0.6042702208403805,1.0771317726670038,1.2072994985749832
2024/03/15/09:00,0.5247794949171668,0.512821133007179,0.6042702208403805,1.0771317726670038,1.2072994985749832
2024/03/15/10:00,0.5241144133022428,0.512821133007179,0.6042702208403805,1.0771317726670038,1.2072994985749832
2024/03/15/11:00,0.5241144133022428,0.512821133007179,0.567028119427551,1.0771317726670038,1.2072994985749832
2024/03/15/12:00,0.5241144133022428,0.5136823800161563,0.5678893664365282,1.0771317726670038,1.2072994985749832
